"ID";"P03";"P05";"P06";"P07";"P08";"P09";"P10_1";"P10_2";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P18_A";"P19_1";"P19_2";"P19_3";"P19_4";"P20_1";"P20_2";"P20_3";"P20_4";"P20_5";"P21_1";"P21_2";"P21_3";"P21_4";"P21_5";"P21_6";"P22";"P23";"P24";"V05";"V07";"V08";"V09";"V09_A";"V09_B_1";"V09_B_2";"V09_B_3";"V09_B_4";"V09_B_97";"V10";"V11";"V12";"V12_A";"V13";"V14";"V14_A";"V14_B";"V14_C";"V14_D";"V14_F";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_DOM_SIMPLES";"VD_PORTE";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"W1";"W2"
"1";35;3;1;3;7;3;2;2;3;3;3;2;3;35;2;;;2;1;1;1;1;2;2;2;1;1;1;1;2;1;2;3;2;4;2;1;4;2;2;2;2;2;2;2;2;2;1;;1;2;2;3;1;;;3;2;1;4;2;2;1;1;1;3;33729345,155718;13215495,0630608;38434986,0707912;19056393,9532222;29495819,6060058;2,63779277376611;87020,5331073833
"2";41;1;5;2;2;2;1;2;3;1;1;1;3;41;1;5;2;2;1;1;1;2;1;2;1;2;2;1;2;2;2;2;1;2;2;2;1;4;1;2;2;2;2;2;2;2;2;2;;1;97;2;4;1;;;4;5;1;4;3;2;97;1;1;3;11713407,8682251;6013776,57309264;18888615,4929057;6035664,3758086;4600442,13009103;0,483815793586448;14213,0460280029
"3";25;2;5;4;2;1;2;2;97;1;1;1;2;25;2;;;1;1;1;97;2;1;2;2;1;1;2;1;2;1;1;3;2;97;1;3;2;1;2;2;2;2;2;2;1;;;5;1;2;2;5;1;;;2;3;3;2;1;1;1;1;1;2;24016636,1990366;8139563,11841058;28042475,6364488;6779182,58867662;14254145,2017422;0,561591784282807;20543,8678941059
"4";35;2;5;4;2;2;1;1;4;1;1;1;2;35;1;3;3;2;2;1;2;1;1;2;1;1;1;2;2;2;2;2;2;2;4;1;5;3;2;2;2;2;2;2;2;2;2;1;;2;2;2;4;2;1;5;3;1;4;2;2;2;1;2;2;2;39313715,0641353;16426598,6548108;866171,66059673;11106514,9869069;28682242,4740766;0,879264257922035;18179,8631683391
"5";35;3;5;3;2;2;97;2;5;2;2;1;2;35;2;;;2;2;1;2;1;1;1;2;1;2;2;1;1;2;2;2;1;4;1;1;3;2;2;2;2;2;2;2;1;;;5;2;97;2;5;2;2;4;3;1;1;2;1;1;97;2;2;3;39313715,0641353;16426598,6548108;38434986,0707912;11106514,9869069;29495819,6060058;1,275581569556;73331,5517914749
"6";35;3;1;2;1;2;2;2;3;1;1;1;2;35;1;3;3;2;2;1;1;1;1;2;2;1;2;2;1;2;2;2;2;2;1;2;3;5;;1;2;2;2;1;2;2;2;1;;2;2;2;2;1;;;3;4;3;1;2;2;1;2;1;2;33729345,155718;12274670,31592;26621802,0272178;19816630,074653;28682242,4740766;1,75852851584407;130672,095427279
"7";35;3;6;2;3;1;1;2;4;1;1;1;2;35;1;1;1;2;1;1;2;1;1;1;2;1;2;2;1;1;2;2;2;2;4;1;1;4;1;2;2;2;2;2;2;1;;;4;4;5;2;3;1;;;3;2;1;4;1;1;3;3;1;3;39313715,0641353;13215495,0630608;38434986,0707912;19056393,9532222;29495819,6060058;0,879264257922035;29491,5933498935
"8";35;2;5;2;1;3;2;2;2;1;1;1;2;35;1;6;3;1;1;1;1;2;1;1;2;2;1;2;2;2;1;2;2;1;4;1;3;1;;2;2;2;2;2;2;1;;;3;1;2;1;;;;;3;5;3;1;1;1;1;1;1;3;39313715,0641353;18051853,6107218;26621802,0272178;19816630,074653;29495819,6060058;1,5306978834672;163768,435594161
"9";35;3;1;2;2;2;1;2;3;1;1;1;2;35;1;3;2;2;1;1;1;2;1;2;2;1;1;2;1;2;2;2;2;2;4;2;5;4;2;2;2;2;2;2;2;1;;;5;4;97;2;5;2;2;4;3;1;4;4;1;1;97;3;2;1;33729345,155718;16426598,6548108;866171,66059673;19056393,9532222;14864998,1397709;0,879264257922035;22334,9988925472
"10";35;2;4;1;2;2;2;1;3;1;1;1;2;35;2;;;2;2;1;1;2;97;1;1;1;2;2;2;2;1;2;2;2;3;2;1;4;1;2;2;2;2;2;2;1;;;4;3;5;2;2;1;;;3;3;1;4;1;1;3;3;1;2;33729345,155718;13074442,5753399;38434986,0707912;19056393,9532222;28682242,4740766;0,879264257922035;29836,7034294922
"11";35;3;6;2;1;2;2;2;3;1;1;1;2;35;1;1;1;2;2;1;1;2;1;1;2;1;2;2;1;1;1;2;2;2;2;1;1;3;1;2;2;2;2;2;2;2;2;2;;1;3;2;3;1;;;3;4;1;3;3;2;2;1;1;2;39313715,0641353;12274670,31592;38434986,0707912;23063521,2050712;28682242,4740766;1,0204652556448;41122,1719851372
"12";35;2;5;2;1;1;2;2;3;3;3;1;3;35;1;5;5;1;2;2;1;2;1;2;2;1;1;2;1;2;2;2;1;2;4;1;1;3;1;2;2;2;2;2;2;1;;;1;3;2;1;;;;;3;2;1;3;1;1;1;3;1;1;39313715,0641353;13215495,0630608;38434986,0707912;23063521,2050712;14864998,1397709;0,879264257922035;60863,6767875834
"13";35;3;4;1;6;1;1;2;5;1;1;1;2;35;1;7;4;2;1;1;2;2;2;1;2;1;2;1;1;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2;2;2;2;2;;1;3;2;4;2;2;1;3;5;1;2;3;2;2;1;2;3;39313715,0641353;18051853,6107218;38434986,0707912;11106514,9869069;29495819,6060058;1,0204652556448;57894,9411093255
"14";41;2;2;2;4;2;2;1;4;1;1;1;2;41;1;1;3;2;1;1;2;2;2;2;2;1;2;1;1;2;2;2;1;2;4;2;1;4;2;2;2;2;2;2;2;1;;;1;2;3;2;2;1;;;4;1;1;4;1;1;2;2;1;2;11713407,8682251;5477973,27518231;18888615,4929057;6035664,3758086;10940047,4281071;0,572897660758402;37421,1205937175
"15";26;3;5;2;2;2;1;1;3;2;1;1;2;26;1;2;1;2;1;1;2;2;1;2;2;1;2;1;1;2;97;97;1;2;3;2;3;3;1;2;2;2;2;2;2;2;2;2;;97;97;97;;;;;2;1;3;3;3;2;97;97;97;3;20650371,2362658;12114338,2670676;28042475,6364488;12938473,1900709;10843662,275684;0,393432201669366;21436,5301081746
"16";26;2;5;4;2;1;2;2;3;1;1;1;2;26;1;3;2;2;2;1;1;2;1;2;2;1;2;2;1;2;2;2;2;1;4;1;2;3;1;2;2;2;2;2;2;2;2;1;;4;2;2;2;1;;;2;1;2;3;2;2;1;3;1;2;24016636,1990366;12114338,2670676;5260950,8213287;12938473,1900709;14254145,2017422;0,65572033611561;59396,8115733336
"17";28;3;4;1;2;1;1;1;5;1;1;1;2;28;1;3;3;2;2;1;2;2;2;2;1;2;2;1;1;2;2;2;1;1;4;2;3;4;2;2;2;2;2;2;2;1;;;1;2;2;2;3;1;;;2;2;3;4;1;1;1;2;1;3;20650371,2362658;8602333,35355409;28042475,6364488;6955158,89754272;10843662,275684;0,542132214954538;7445,15071459251
"18";29;3;5;1;2;1;1;2;5;1;1;1;2;29;1;3;97;2;1;1;1;1;1;1;2;1;1;2;1;1;2;2;1;1;4;2;1;4;1;2;2;2;2;2;2;2;1;;2;1;97;2;3;1;;;2;3;1;4;1;1;97;1;1;3;20650371,2362658;8139563,11841058;11020165,745746;6955158,89754272;10843662,275684;0,4981095747969;6043,75209027248
"19";53;2;5;3;1;2;2;2;3;1;1;1;1;53;;;;2;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;4;1;2;4;2;2;2;2;2;2;2;2;1;;1;2;2;2;3;2;1;2;5;1;2;4;1;1;1;2;2;3;6786894,40292303;3337980,36993214;1133334,85751398;3304153,87534937;5238381,45095394;0,972648953375965;22825,0244200297
"20";35;3;4;2;1;2;2;2;5;2;1;1;2;35;1;2;2;2;2;1;1;1;1;2;2;1;2;2;1;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;;1;97;2;3;1;;;3;5;1;2;3;2;97;1;1;3;39313715,0641353;18051853,6107218;38434986,0707912;11106514,9869069;29495819,6060058;0,879264257922035;49884,0623434709
"21";31;2;1;4;1;3;2;2;5;2;2;1;2;31;2;;;2;2;1;2;1;1;1;2;1;1;2;1;1;1;2;1;1;4;2;3;2;2;2;2;2;2;2;2;1;;;1;2;3;2;2;1;;;3;3;3;1;1;1;2;2;1;1;33729345,155718;13074442,5753399;26621802,0272178;19816630,074653;14864998,1397709;1,10253627054087;144791,503438034
"22";23;2;5;2;2;2;2;2;4;2;1;1;2;23;1;3;2;2;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;4;2;3;3;1;2;2;2;2;2;2;1;;;7;2;97;2;3;1;;;2;1;3;3;1;1;97;2;1;2;20650371,2362658;12114338,2670676;28042475,6364488;12938473,1900709;14254145,2017422;0,907373556183115;71567,5091992535
"23";11;3;5;1;2;1;2;2;4;1;1;1;3;11;1;4;2;2;1;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;4;1;1;2;1;1;2;2;2;1;2;2;2;2;;2;2;2;2;1;;;1;2;1;2;3;2;1;2;1;2;7039177,41749923;2790858,56958486;2438978,46931809;2376092,0260829;5331736,77354466;0,961305097944681;38017,8285506611
"24";35;2;5;2;2;2;2;2;3;1;1;1;2;35;1;6;4;2;1;1;2;1;1;2;2;1;2;1;1;2;2;1;2;2;2;1;1;4;2;2;2;2;2;2;2;2;2;2;;2;97;2;5;1;;;3;3;1;4;3;2;97;2;1;3;39313715,0641353;13074442,5753399;38434986,0707912;19056393,9532222;29495819,6060058;0,879264257922035;30342,6876197887
"25";35;3;5;2;6;1;1;1;3;3;3;3;2;35;1;97;97;2;1;1;2;2;2;2;1;2;1;1;1;2;2;2;1;2;2;2;1;3;1;1;2;2;2;1;2;2;1;;1;1;3;2;4;2;2;4;3;2;1;3;1;1;2;1;2;2;33729345,155718;13215495,0630608;38434986,0707912;23063521,2050712;28682242,4740766;0,879264257922035;37389,8453933153
"26";43;2;5;1;4;1;2;2;4;2;2;1;2;43;1;2;5;2;1;2;2;2;1;1;2;1;1;1;1;2;1;2;2;2;2;2;1;3;1;2;2;2;2;2;2;1;;;5;1;97;2;3;2;1;4;4;1;1;3;1;1;97;1;2;1;11713407,8682251;5477973,27518231;18888615,4929057;6745263,54772842;9103462,815831;0,621399659513766;85969,0945215831
"27";17;3;5;4;3;97;97;1;3;3;1;97;3;17;1;6;3;1;1;1;2;1;1;1;1;2;1;2;1;2;1;1;3;2;2;1;5;4;2;2;2;2;2;2;2;2;2;2;;1;97;2;10;1;;;1;5;4;4;3;2;97;1;1;2;7039177,41749923;2204355,52273676;153838,07399016;2403297,95069104;5331736,77354466;0,483909500361074;14539,4280121888
"28";31;2;5;1;5;1;2;2;4;1;1;1;2;31;1;3;2;2;2;1;1;2;1;1;2;1;1;1;1;2;2;1;2;2;4;1;1;4;1;2;2;2;2;2;2;1;;;2;5;97;2;6;2;1;2;3;2;1;4;1;1;97;3;2;1;39313715,0641353;13215495,0630608;38434986,0707912;19056393,9532222;14864998,1397709;0,551268135270436;29596,6811714103
"29";25;2;7;1;2;2;1;2;2;1;1;1;3;25;1;3;3;2;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;2;97;2;1;3;1;2;2;2;2;2;2;2;1;;5;1;3;2;4;1;;;2;4;1;3;1;1;2;1;1;2;20650371,2362658;6803249,7668619;11020165,745746;12938473,1900709;14254145,2017422;0,561591784282807;17684,4784326874
"30";21;1;5;2;1;3;2;2;3;2;2;1;2;21;1;3;1;1;1;2;2;1;2;2;1;1;2;1;2;1;1;1;2;1;3;1;3;3;1;2;2;2;2;2;2;1;;;5;2;2;2;2;1;;;2;1;3;3;1;1;1;2;1;1;24016636,1990366;12114338,2670676;28042475,6364488;12938473,1900709;19569199,9578762;0,330673301613998;70884,3545521481
"31";33;2;6;1;2;1;1;2;5;1;1;1;2;33;1;3;3;2;2;1;1;1;1;1;2;1;1;2;1;1;2;2;2;2;4;2;3;3;1;2;2;2;2;2;2;1;;;1;1;4;2;4;2;3;4;3;1;3;3;1;1;3;1;2;3;33729345,155718;16426598,6548108;26621802,0272178;23063521,2050712;29495819,6060058;0,662028921374107;30962,2165696151
"32";41;2;1;2;1;3;2;2;3;2;2;2;1;41;1;5;5;2;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;2;2;1;4;1;2;2;2;2;2;2;1;;;5;1;3;2;3;1;;;4;1;1;4;1;1;2;1;1;2;11713407,8682251;5477973,27518231;18888615,4929057;6035664,3758086;10940047,4281071;1,71869298227521;112263,361781153
"33";53;2;2;4;4;1;2;2;4;1;1;1;2;53;;;;2;1;1;2;2;2;2;2;1;2;2;1;2;2;1;2;2;4;2;2;3;1;2;2;2;2;2;2;2;2;2;;3;97;2;6;1;;;5;3;2;3;3;2;97;3;1;3;6106169,83467086;2450025,89065194;1133334,85751398;3563234,29696145;5238381,45095394;0,663829867443377;14520,8658172306
"34";33;3;3;2;2;2;1;2;3;2;2;1;2;33;1;2;5;2;1;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;4;2;3;4;2;2;2;2;2;2;2;1;;;5;2;97;2;3;1;;;3;2;3;4;1;1;97;2;1;3;33729345,155718;13215495,0630608;26621802,0272178;19056393,9532222;29495819,6060058;0,331014460687054;8979,52308337986
"35";42;2;1;2;2;2;1;2;3;1;1;2;2;42;1;3;3;2;1;97;1;2;1;2;1;1;1;1;1;1;97;1;1;2;2;1;1;4;1;2;2;2;2;2;2;1;;;1;3;3;1;;;;;4;2;1;4;1;1;2;3;1;2;12930544,5058041;4325648,00057885;18888615,4929057;6035664,3758086;10940047,4281071;0,407092454534033;13712,81110472
"36";21;1;5;1;2;2;1;2;5;1;1;1;2;21;1;6;2;2;1;1;1;2;1;2;2;1;1;1;1;2;2;2;2;1;3;2;3;3;1;2;2;2;2;2;2;1;;;1;1;97;2;4;1;;;2;2;3;3;1;1;97;1;1;1;20650371,2362658;8602333,35355409;28042475,6364488;12938473,1900709;19569199,9578762;0,110224433871333;7935,00656180815
"37";41;1;5;2;1;2;2;2;2;2;2;1;1;41;1;3;2;2;2;1;1;2;2;1;1;1;1;1;1;2;1;2;2;2;4;1;3;3;2;2;2;2;2;2;2;2;2;2;;1;2;1;;;;;4;3;3;2;3;2;1;1;1;1;12930544,5058041;4413565,07719106;4529896,19224138;4158783,67245696;9103462,815831;0,572897660758402;44693,2700832931
"38";26;2;4;1;7;2;97;2;5;97;97;97;3;26;2;;;2;2;1;1;2;1;1;1;1;1;2;1;1;2;2;2;1;4;2;2;3;1;2;2;2;2;2;2;1;;;4;1;3;1;;;;;2;2;2;3;1;1;2;1;1;3;20650371,2362658;8602333,35355409;5260950,8213287;12938473,1900709;10843662,275684;0,65572033611561;13779,5834515554
"39";28;2;5;2;1;1;2;2;3;1;1;1;2;28;1;5;1;2;1;1;1;1;1;2;2;1;1;1;1;2;1;2;2;2;4;2;1;4;2;2;2;2;2;2;2;2;2;2;;2;3;2;2;2;1;4;2;1;1;4;3;2;2;2;2;3;20650371,2362658;12114338,2670676;11020165,745746;6955158,89754272;10843662,275684;0,542132214954538;13013,0670866204
"40";33;3;3;3;2;2;2;2;5;1;1;1;3;33;1;1;2;2;2;1;2;2;1;1;2;1;1;2;1;1;1;2;1;2;1;1;3;3;1;2;2;2;2;2;2;1;;;4;2;2;2;16;1;;;3;3;3;3;1;1;1;2;1;2;39313715,0641353;13074442,5753399;26621802,0272178;23063521,2050712;28682242,4740766;0,662028921374107;24215,3088522217
"41";27;1;2;2;4;1;1;2;2;1;1;1;2;27;1;2;2;2;1;1;1;2;2;2;2;1;1;2;2;2;2;1;2;1;4;1;3;4;2;2;2;2;2;2;2;1;;;1;2;2;2;5;1;;;2;2;3;4;1;1;1;2;1;3;24016636,1990366;8602333,35355409;28042475,6364488;6955158,89754272;10843662,275684;2,22761199213558;43545,7617661924
"42";12;2;5;1;5;1;1;2;2;1;1;1;2;12;1;1;2;2;1;1;1;1;2;1;2;2;2;2;2;1;2;2;2;2;4;2;1;4;2;2;2;2;2;2;2;1;;;6;1;3;2;3;2;2;4;1;1;1;4;1;1;2;1;2;2;6635351,59351707;4272340,37819496;2438978,46931809;2403297,95069104;5331736,77354466;1,14070420956913;88017,8791137642
"43";33;2;5;2;2;2;2;2;5;1;1;1;3;33;1;2;3;2;1;1;2;2;1;1;2;1;1;2;2;2;1;2;1;2;97;2;3;4;2;2;2;2;2;2;2;1;;;1;2;3;2;3;2;2;2;3;2;3;4;1;1;2;2;2;3;33729345,155718;13215495,0630608;26621802,0272178;19056393,9532222;29495819,6060058;0,662028921374107;17959,0461667597
"44";43;1;4;2;4;2;1;2;3;1;1;2;1;43;1;3;2;2;1;1;1;2;1;2;2;1;2;1;2;2;1;2;1;2;2;1;1;4;2;2;2;2;2;2;2;1;;;4;1;4;2;2;1;;;4;4;1;4;1;1;3;1;1;1;12930544,5058041;4412989,44798431;18888615,4929057;6035664,3758086;9103462,815831;0,621399659513766;27721,256435104
"45";29;1;1;1;1;2;1;2;3;1;1;1;2;29;1;7;2;2;1;1;2;1;1;1;1;1;2;2;1;2;2;2;1;1;3;1;2;4;1;2;2;2;2;2;2;2;1;;1;3;2;2;5;1;;;2;5;2;4;1;1;1;3;1;3;24016636,1990366;9007522,92940827;5260950,8213287;6955158,89754272;10843662,275684;0,4981095747969;23913,9153738166
"46";43;2;4;2;3;1;1;1;2;1;1;1;2;43;1;2;3;2;2;1;1;1;1;1;2;1;1;2;1;1;1;2;2;2;1;2;1;3;2;2;2;2;2;2;2;2;1;;5;1;4;2;2;1;;;4;5;1;2;1;1;3;1;1;2;11713407,8682251;6013776,57309264;18888615,4929057;4158783,67245696;10940047,4281071;1,31194011598865;65956,01372658
"47";35;1;97;1;2;2;2;2;5;3;3;97;3;35;2;;;2;2;2;2;97;2;2;2;1;1;1;1;2;2;1;1;2;2;2;3;3;1;2;2;2;2;2;2;2;2;2;;5;3;2;2;1;;;3;1;3;3;3;2;2;3;1;3;33729345,155718;16426598,6548108;26621802,0272178;23063521,2050712;29495819,6060058;0,879264257922035;41122,025785819
"48";41;97;97;4;97;2;2;2;3;1;1;1;97;41;1;3;3;2;2;1;1;1;2;97;2;1;2;2;97;2;2;1;2;2;97;2;3;2;1;2;2;2;2;2;2;2;2;2;;2;3;2;2;1;;;4;5;3;2;3;2;2;2;1;2;11713407,8682251;6013776,57309264;4529896,19224138;4158783,67245696;10940047,4281071;2,41907896793224;104723,888102535
"49";24;1;5;3;5;2;2;2;3;1;1;2;2;24;1;1;1;1;2;1;2;1;1;2;2;1;2;1;1;2;1;1;2;2;2;1;3;2;2;2;2;2;2;2;2;2;2;2;;2;97;2;4;1;;;2;3;3;1;3;2;97;2;1;1;24016636,1990366;8139563,11841058;28042475,6364488;17994192,7590122;19569199,9578762;0,492441024691407;88894,012484256
"50";41;3;3;1;2;2;1;1;3;1;1;2;2;41;1;5;2;2;1;1;2;2;1;2;1;97;2;1;1;2;2;1;2;1;2;1;3;3;1;2;2;2;2;2;2;1;;;5;2;97;2;6;1;;;4;2;3;3;1;1;97;2;1;2;12930544,5058041;4325648,00057885;4529896,19224138;6745263,54772842;10940047,4281071;0,572897660758402;29770,0522356504
"51";41;2;5;3;1;2;97;2;3;2;2;1;2;41;1;3;2;2;2;1;1;2;1;2;2;1;1;2;1;2;2;2;2;1;3;1;1;4;1;2;2;2;2;2;2;2;2;2;;1;4;2;2;2;1;1;4;5;1;4;3;2;3;1;2;1;12930544,5058041;6013776,57309264;18888615,4929057;6035664,3758086;9103462,815831;0,806359655977413;35989,4998257932
"52";31;1;3;2;2;2;2;2;97;1;1;1;2;31;1;3;3;2;1;1;1;97;1;2;2;1;2;2;1;2;1;1;2;2;1;1;1;3;1;2;2;2;2;2;2;1;;;5;2;2;2;2;1;;;3;4;1;3;1;1;1;2;1;2;39313715,0641353;12274670,31592;38434986,0707912;23063521,2050712;28682242,4740766;1,10253627054087;44429,4265642444
"53";33;2;1;2;2;2;2;2;2;97;1;2;1;33;2;;;2;1;1;1;2;1;2;1;1;2;1;1;2;1;2;2;2;3;2;3;3;1;2;2;2;2;2;2;1;;;5;3;3;2;4;2;2;4;3;1;3;3;1;1;2;3;2;2;33729345,155718;16426598,6548108;26621802,0272178;23063521,2050712;28682242,4740766;1,32405784274821;61909,3983281167
"54";21;1;6;2;3;1;1;2;5;1;1;1;1;21;1;3;4;1;1;97;1;1;1;2;1;1;2;1;1;2;1;1;2;2;2;1;3;4;1;2;2;2;2;2;2;2;2;2;;2;97;2;2;1;;;2;5;3;4;3;2;97;2;1;2;24016636,1990366;9007522,92940827;28042475,6364488;6955158,89754272;14254145,2017422;0,330673301613998;28483,5095694707
"55";53;3;5;2;97;1;2;2;5;1;1;3;3;53;;;;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;1;1;4;1;3;3;2;2;2;2;2;2;2;2;2;1;;1;97;2;3;1;;;5;4;3;2;2;2;97;1;1;3;6786894,40292303;2178021,33998164;7038914,08024251;2120908,14236507;5238381,45095394;1,94529790675193;48255,8464204415
"56";31;3;5;2;2;2;2;2;3;1;1;2;2;31;1;2;1;2;2;1;1;1;1;2;2;1;1;2;1;2;1;1;2;2;2;2;1;3;2;2;2;2;2;2;2;1;;;1;1;2;1;;;;;3;4;1;2;1;1;1;1;1;1;33729345,155718;12274670,31592;38434986,0707912;11106514,9869069;14864998,1397709;0,551268135270436;34778,0132385005
"57";23;3;5;2;3;1;1;1;3;1;1;1;3;23;1;4;4;2;2;1;1;2;1;1;2;1;1;2;2;2;1;2;1;2;1;1;3;4;1;2;2;2;2;2;2;1;;;1;2;4;2;4;1;;;2;3;3;4;1;1;3;2;1;3;24016636,1990366;8139563,11841058;28042475,6364488;6955158,89754272;10843662,275684;0,151228926030519;3126,02386278426
"58";15;2;4;2;1;2;97;2;3;1;1;1;2;15;1;3;3;2;2;2;1;2;1;2;2;1;2;2;1;2;2;2;2;1;4;2;1;3;1;1;2;2;1;2;2;2;2;2;;1;2;2;2;2;1;5;1;4;1;3;3;2;1;1;2;2;6635351,59351707;1930609,47688079;2438978,46931809;4162214,51581537;5331736,77354466;0,228902197239812;19857,0833883876
"59";23;2;5;2;2;2;1;2;3;1;1;1;2;23;1;2;2;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;3;2;3;4;2;2;2;2;2;2;2;2;2;2;;1;97;2;4;2;2;4;2;1;3;4;3;2;97;1;2;2;20650371,2362658;12114338,2670676;28042475,6364488;6955158,89754272;14254145,2017422;0,453686778091558;18867,4574158054
"60";28;2;5;2;1;1;2;2;3;1;1;1;2;28;1;3;3;2;2;1;1;2;1;1;2;1;1;2;1;2;1;2;2;1;2;2;1;3;1;1;2;2;2;1;2;2;2;2;;1;2;2;5;2;1;1;2;4;1;3;3;2;1;1;2;3;20650371,2362658;6803249,7668619;11020165,745746;12938473,1900709;10843662,275684;2,16852885981815;47172,7850239343
"61";43;2;3;1;2;1;1;2;5;97;1;3;2;43;2;;;2;1;1;1;2;1;1;2;1;2;1;1;1;1;2;1;2;2;2;1;3;1;2;2;2;2;2;2;2;1;;2;5;4;1;;;;;4;4;1;3;1;1;3;3;1;2;11713407,8682251;4412989,44798431;18888615,4929057;6745263,54772842;10940047,4281071;0,124279931902753;8108,22008533132
"62";14;1;4;1;5;1;1;2;5;1;1;1;2;14;1;1;1;2;1;1;2;2;2;2;1;1;1;1;1;2;1;1;1;1;2;2;5;4;1;2;2;2;2;2;2;1;;;2;2;3;2;4;1;;;1;2;4;4;1;1;2;2;1;2;6635351,59351707;2790858,56958486;153838,07399016;2403297,95069104;5331736,77354466;0,753082579071218;5942,85617919399
"63";35;3;3;2;2;1;2;2;5;2;1;1;3;35;1;2;1;2;2;1;2;1;1;1;2;1;2;2;1;1;2;2;1;1;3;1;1;4;2;1;2;2;2;1;2;1;;;5;2;3;2;5;2;1;4;3;1;1;4;1;1;2;2;2;1;39313715,0641353;16426598,6548108;38434986,0707912;19056393,9532222;14864998,1397709;0,439632128961017;31561,6488971945
"64";35;1;5;4;1;2;2;2;5;3;3;2;3;35;1;3;1;1;1;1;2;2;1;2;1;1;1;2;1;1;1;1;2;1;3;2;1;2;1;2;2;2;2;2;2;1;;;5;2;2;2;5;2;2;2;3;3;1;2;1;1;1;2;2;2;33729345,155718;13074442,5753399;38434986,0707912;11106514,9869069;28682242,4740766;4,39632128961017;191220,534514448
"65";35;2;5;3;1;3;2;2;4;1;1;2;2;35;1;6;6;1;1;1;1;1;1;2;1;1;1;1;1;2;2;97;2;1;2;1;1;3;2;2;2;2;2;2;2;2;2;2;;1;3;2;2;1;;;3;5;1;2;3;2;2;1;1;3;39313715,0641353;18051853,6107218;38434986,0707912;11106514,9869069;29495819,6060058;0,612279153386878;34736,9646655953
"66";35;3;5;3;3;2;2;1;3;2;2;3;1;35;1;4;5;2;1;1;1;1;2;2;2;1;1;2;1;2;1;1;2;2;3;2;1;4;1;2;2;2;2;2;2;1;;;5;1;97;2;3;1;;;3;3;1;4;1;1;97;1;1;2;33729345,155718;13074442,5753399;38434986,0707912;19056393,9532222;28682242,4740766;0,510232627822399;17314,0889774884
"67";29;3;7;4;1;3;2;2;5;97;1;2;3;29;1;1;7;97;1;1;97;2;1;2;97;1;2;2;1;2;97;97;97;2;4;1;3;3;1;1;2;2;2;1;2;2;1;;3;2;97;2;3;1;;;2;4;3;3;1;1;97;2;1;3;24016636,1990366;6803249,7668619;28042475,6364488;12938473,1900709;10843662,275684;4,49494696805479;166581,417140189
"68";35;1;1;1;2;1;1;1;5;1;1;1;2;35;1;97;97;2;2;2;2;2;1;2;1;2;1;1;1;2;1;97;1;1;2;2;3;6;;2;2;2;2;2;2;2;1;;5;1;3;2;2;1;;;3;4;3;4;1;1;2;1;1;3;33729345,155718;12274670,31592;26621802,0272178;19056393,9532222;29495819,6060058;3,06139576693439;77405,4611395815
"69";35;3;1;3;1;1;2;2;5;3;2;1;3;35;2;;;2;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;2;1;3;2;2;2;2;2;2;2;2;2;2;1;;2;2;2;6;1;;;3;2;3;1;2;2;1;2;1;2;39313715,0641353;13215495,0630608;26621802,0272178;19816630,074653;28682242,4740766;2,63779277376611;213809,03140374
"70";35;3;5;2;2;1;2;2;2;1;1;1;2;35;1;3;4;2;1;1;1;2;1;1;2;1;2;2;2;2;2;1;2;1;1;1;3;4;1;2;2;2;2;2;2;2;1;;1;1;3;2;3;1;;;3;3;3;4;1;1;2;1;1;2;39313715,0641353;13074442,5753399;26621802,0272178;19056393,9532222;28682242,4740766;1,83683746016064;52110,4876087765
"71";35;2;6;1;6;1;1;1;5;1;1;1;2;35;1;97;5;2;1;1;2;2;97;2;1;2;1;1;1;2;1;2;1;97;2;2;3;4;1;2;2;2;2;2;2;1;;;1;2;3;2;2;1;;;3;2;3;4;1;1;2;2;1;3;33729345,155718;13215495,0630608;26621802,0272178;19056393,9532222;29495819,6060058;1,5306978834672;41523,6752791567
"72";42;2;5;4;1;2;2;2;2;1;1;2;2;42;1;4;5;1;1;1;2;2;1;2;2;1;2;2;1;2;1;1;2;1;4;1;1;3;2;2;2;2;2;2;2;2;2;2;;1;2;2;4;1;;;4;4;1;2;3;2;1;1;1;1;12930544,5058041;4412989,44798431;18888615,4929057;4158783,67245696;9103462,815831;2,17115975751484;133646,690147998
